	course	freq
415	CAMS 241	2
416	CAMS 243	2
417	CAMS 250	1
418	CAMS 250H	1
419	CAMS 255	5
420	CAMS 261	3
421	CAMS 270	2
422	CAMS 271	4
423	CAMS 272	3
424	CAMS 276	1
425	CAMS 277	3
426	CAMS 286	4
427	CAMS 292	1
428	CAMS 300	2
429	CAMS 301	3
430	CAMS 302	1
431	CAMS 304	1
432	CAMS 305	3
433	CAMS 308	1
434	CAMS 310	3
435	CAMS 312	2
436	CAMS 313	4
437	CAMS 318	1
438	CAMS 320	2
439	CAMS 321	3
440	CAMS 324	3
441	CAMS 327	3
442	CAMS 335	4
443	CAMS 338	4
444	CAMS 350	1
445	CAMS 350H	1
446	CAMS 360	1
447	CAMS 366	4
448	CAMS 370	1
449	CHEM 103	1
450	CHEM 105	5
451	CHEM 105P	2
452	CHEM 116	3
453	CHEM 120	4
454	CHEM 205	3
455	CHEM 211	4
456	CHEM 212	1
457	CHEM 223	2
458	CHEM 227	1
459	CHEM 302	3
460	CHEM 303	2
461	CHEM 304	2
462	CHEM 305	2
463	CHEM 307	2
464	CHEM 309	2
465	CHEM 310	2
466	CHEM 318	2
467	CHEM 320	2
468	CHEM 323	2
469	CHEM 324	2
470	CHEM 325	3
471	CHEM 330	3
472	CHEM 330X	2
473	CHEM 331	2
474	CHEM 334	2
475	CHEM 335	3
476	CHEM 341	3
477	CHEM 355	2
478	CHEM 361	2
479	CHEM 365	2
480	CHIN 200	1
481	CHIN 201	1
482	CHIN 202	2
483	CHIN 203	2
484	CHIN 204	2
485	CHIN 208	2
486	CHIN 211	3
487	CHIN 213	1
488	CHIN 220	2
489	CHIN 226	2
490	CHIN 233	2
491	CHIN 239	2
492	CHIN 243	3
493	CHIN 244	3
494	CHIN 245	2
495	CHIN 301	1
496	CHIN 302	1
497	CHIN 306	1
498	CHIN 311	2
499	CHIN 320	2
500	CHIN 326	2
501	CHIN 333	2
502	CHIN 338	2
503	CHIN 344	2
504	CHIN 345	2
505	CHIN 381	2
506	CHIN 382	2
507	CLCV 103	1
508	CLCV 104	1
509	CLCV 106	1
510	CLCV 205	1
511	CLCV 206	1
512	CLCV 210	3
513	CLCV 212	1
514	CLCV 213	1
515	CLCV 215	2
516	CLCV 230	1
517	CLCV 236	1
518	CLCV 240	3
519	CLCV 241	1
520	CLCV 243	1
521	CLCV 250	1
522	CLCV 250H	1
523	CLCV 280H	1
524	CLCV 305	1
525	CLCV 310	2
526	CLCV 313	1
527	CLCV 330	1
528	CLCV 336	1
529	CLCV 350	1
530	CLCV 350H	1
531	CLCV 373	3
532	CLPT 180	1
533	CLPT 247	1
534	CLPT 284	1
535	CLPT 294	1
536	CLPT 375	1
537	CLSC 214	1
538	CLSC 216	4
539	CLSC 316	2
540	CPLT 236	1
541	CPLT 238	1
542	CPLT 284	1
543	CPLT 294	1
544	CS 111	6
545	CS 112	1
546	CS 121	1
547	CS 203	2
548	CS 204	2
549	CS 220	3
550	CS 221	2
551	CS 230	4
552	CS 231	3
553	CS 232	6
554	CS 234	3
555	CS 235	3
556	CS 240	1
557	CS 242	2
558	CS 251	2
559	CS 301	1
560	CS 304	3
561	CS 305	5
562	CS 307	2
563	CS 313	2
564	CS 315	3
565	CS 317	1
566	CS 320	2
567	CS 321	2
568	CS 323	3
569	CS 331	1
570	CS 332	3
571	CS 333	1
572	CS 341	1
573	CS 342	2
574	CS 343	2
575	CS 349H	1
576	EALC 221	3
577	EALC 225	3
578	EALC 236	3
579	EALC 325	3
580	EALC 345	3
581	ECON 101	4
582	ECON 102	4
583	ECON 103	3
584	ECON 201	4
585	ECON 202	4
586	ECON 203	5
587	ECON 213	4
588	ECON 214	4
589	ECON 220	4
590	ECON 222	4
591	ECON 226	5
592	ECON 228	4
593	ECON 229	4
594	ECON 232	4
595	ECON 233	3
596	ECON 241	5
597	ECON 243	1
598	ECON 250	2
599	ECON 250H	2
600	ECON 251H	2
601	ECON 301	3
602	ECON 302	3
603	ECON 303	3
604	ECON 306	4
605	ECON 311	6
606	ECON 312	4
607	ECON 313	4
608	ECON 314	4
609	ECON 318	4
610	ECON 320	4
611	ECON 322	3
612	ECON 323	3
613	ECON 324	3
614	ECON 326	5
615	ECON 327	4
616	ECON 328	5
617	ECON 332	4
618	ECON 334	4
619	ECON 335	3
620	ECON 341	4
621	EDUC 102	1
622	EDUC 103Y	1
623	EDUC 117Y	1
624	EDUC 200	1
625	EDUC 201	1
626	EDUC 207	4
627	EDUC 212	1
628	EDUC 213	1
629	EDUC 214	2
630	EDUC 215	2
631	EDUC 216	2
632	EDUC 217	4
633	EDUC 226	5
634	EDUC 227	4
635	EDUC 300	1
636	EDUC 303	1
637	EDUC 304	1
638	EDUC 305	1
639	EDUC 308	4
640	EDUC 310	2
641	EDUC 313	1
642	EDUC 314	1
643	EDUC 317	1
644	EDUC 321	5
645	EDUC 325	2
646	EDUC 328	1
647	EDUC 330	1
648	EDUC 332	1
649	EDUC 334	2
650	EDUC 335	2
651	EDUC 339	1
652	EDUC 360	1
653	EDUC 370	1
654	ENG 103	3
655	ENG 106	1
656	ENG 111D	3
657	ENG 112	2
658	ENG 113	1
659	ENG 115	1
660	ENG 116	1
661	ENG 119	3
662	ENG 120	3
663	ENG 121	3
664	ENG 150	1
665	ENG 150Y	1
666	ENG 200	1
667	ENG 202	2
668	ENG 203	2
669	ENG 204	5
670	ENG 205	2
671	ENG 206	1
672	ENG 208	5
673	ENG 210	2
674	ENG 211	4
675	ENG 213	4
676	ENG 214	4
677	ENG 220	1
678	ENG 221	8
679	ENG 222	4
680	ENG 223	5
681	ENG 224	5
682	ENG 227	4
683	ENG 234	3
684	ENG 241	3
685	ENG 242	1
686	ENG 245	3
687	ENG 246	1
688	ENG 247	1
689	ENG 247/	1
690	ENG 248	3
691	ENG 249	1
692	ENG 251	2
693	ENG 252	4
694	ENG 253	2
695	ENG 254	1
696	ENG 257	1
697	ENG 258	2
698	ENG 259	1
699	ENG 260	3
700	ENG 261	1
701	ENG 262	1
702	ENG 264	1
703	ENG 265	4
704	ENG 266	1
705	ENG 267	1
706	ENG 268	1
707	ENG 269	1
708	ENG 270	2
709	ENG 271	1
710	ENG 272	5
711	ENG 274	1
712	ENG 279	5
713	ENG 280	1
714	ENG 283	3
715	ENG 284	3
716	ENG 286	3
717	ENG 287	1
718	ENG 289	1
719	ENG 290	1
720	ENG 291	4
721	ENG 292	2
722	ENG 294	5
723	ENG 295	4
724	ENG 296	3
725	ENG 297	3
726	ENG 298	4
727	ENG 299	1
728	ENG 301	2
729	ENG 302	2
730	ENG 308	1
731	ENG 311	4
732	ENG 314	3
733	ENG 315	2
734	ENG 316	2
735	ENG 317	4
736	ENG 319	1
737	ENG 324	2
738	ENG 325	4
739	ENG 335	3
740	ENG 336	3
741	ENG 341	3
742	ENG 342	3
743	ENG 345	3
744	ENG 346	4
745	ENG 347	3
746	ENG 349	3
747	ENG 350H	1
748	ENG 351H	1
749	ENG 355	1
750	ENG 356	2
751	ENG 357	3
752	ENG 358	3
753	ENG 382	1
754	ENG 383	2
755	ENG 386	1
756	ENG 387	1
757	ENG 388	3
758	ENG 389	1
759	ENG 393	1
760	ENG 399H	1
761	ENGR 120	1
762	ENGR 305	1
763	ES 100	1
764	ES 101	1
765	ES 102	1
766	ES 105	1
767	ES 201	1
768	ES 214	2
769	ES 228	4
770	ES 229	1
771	ES 233	1
772	ES 234	1
773	ES 238	2
774	ES 247	1
775	ES 265	2
776	ES 267	2
777	ES 299	4
778	ES 300	1
779	ES 312	2
780	ES 325	2
781	ES 328	3
782	ES 329	1
783	ES 381	2
784	ES 398	1
785	ES 399	1
786	EXTD 123	1
787	EXTD 128	1
788	FREN 202	2
789	FREN 205	2
790	FREN 206	2
791	FREN 207	2
792	FREN 208	2
793	FREN 209	2
794	FREN 210	3
795	FREN 211	3
796	FREN 212	2
797	FREN 213	2
798	FREN 214	2
799	FREN 217	2
800	FREN 218	2
801	FREN 220	2
802	FREN 221	2
803	FREN 222	4
804	FREN 224	3
805	FREN 225	2
806	FREN 226	2
807	FREN 227	2
808	FREN 228	2
809	FREN 229	3
810	FREN 230	2
811	FREN 232	3
812	FREN 233	2
813	FREN 234	1
814	FREN 235	2
815	FREN 237	2
816	FREN 241	2
817	FREN 278	3
818	FREN 300	5
819	FREN 302	2
820	FREN 303	3
821	FREN 305	2
822	FREN 306	2
823	FREN 307	2
824	FREN 308	3
825	FREN 313	2
826	FREN 314	4
827	FREN 315	2
828	FREN 317	2
829	FREN 319	2
830	FREN 322	2
831	FREN 323	3
832	FREN 324	2
833	FREN 330	4
834	FREN 332	2
835	FREN 333	3
836	FREN 356	2
837	GEOS 101	2
838	GEOS 102	2
839	GEOS 200	1
840	GEOS 201	1
841	GEOS 203	1
842	GEOS 208	2
843	GEOS 210	1
844	GEOS 215	1
845	GEOS 218	1
846	GEOS 220	1
847	GEOS 223	2
848	GEOS 230	1
849	GEOS 304	3
850	GEOS 313	2
851	GEOS 315	3
852	GEOS 316	2
853	GEOS 317	2
854	GEOS 318	2
855	GEOS 320	3
856	GEOS 350	2
857	GEOS 350G	2
858	GEOS 360	2
859	GEOS 370	2
860	GER 201	1
861	GER 202	1
862	GER 202W	1
863	GER 225	1
864	GER 229	1
865	GER 231	1
866	GER 234	1
867	GER 236	1
868	GER 238	1
869	GER 239	1
870	GER 250	1
871	GER 250H	1
872	GER 258	1
873	GER 286	3
874	GER 325	1
875	GER 329	2
876	GER 338	1
877	GER 350	1
878	GER 350H	1
879	GER 360	1
880	GER 370	1
881	GER 385	1
882	GER 386	1
883	GER 387	1
884	GER 388	2
885	GER 389	1
886	GRK 101	1
887	GRK 102	1
