	course	0	1	2	3	4	5	6	7
459	CHEM 370	Astronomy	Chemistry						
1578	CHIN 200	Medieval Renaissance Studies							
892	CHIN 201	East Asian Studies							
848	CHIN 202	East Asian Languages and Cultures	East Asian Studies						
851	CHIN 203	East Asian Languages and Cultures	East Asian Studies						
852	CHIN 204	East Asian Languages and Cultures	East Asian Studies						
868	CHIN 208	East Asian Languages and Cultures	East Asian Studies						
869	CHIN 211	East Asian Languages and Cultures	East Asian Studies	Medieval Renaissance Studies					
1888	CHIN 213	Women's and Gender Studies							
870	CHIN 220	East Asian Languages and Cultures	East Asian Studies						
871	CHIN 226	East Asian Languages and Cultures	East Asian Studies						
872	CHIN 233	East Asian Languages and Cultures	East Asian Studies						
873	CHIN 239	East Asian Languages and Cultures	East Asian Studies						
874	CHIN 243	East Asian Languages and Cultures	East Asian Studies	Women's and Gender Studies					
875	CHIN 244	East Asian Languages and Cultures	East Asian Studies	Theatre Studies					
876	CHIN 245	East Asian Languages and Cultures	East Asian Studies						
886	CHIN 250	East Asian Languages and Cultures							
887	CHIN 250H	East Asian Languages and Cultures							
849	CHIN 301	East Asian Languages and Cultures							
850	CHIN 302	East Asian Languages and Cultures							
853	CHIN 306	East Asian Languages and Cultures							
877	CHIN 311	East Asian Languages and Cultures	East Asian Studies						
878	CHIN 320	East Asian Languages and Cultures	East Asian Studies						
879	CHIN 326	East Asian Languages and Cultures	East Asian Studies						
880	CHIN 333	East Asian Languages and Cultures	East Asian Studies						
881	CHIN 338	East Asian Languages and Cultures	East Asian Studies						
882	CHIN 344	East Asian Languages and Cultures	East Asian Studies						
883	CHIN 345	East Asian Languages and Cultures	East Asian Studies						
888	CHIN 350	East Asian Languages and Cultures							
889	CHIN 350H	East Asian Languages and Cultures							
890	CHIN 360	East Asian Languages and Cultures							
891	CHIN 370	East Asian Languages and Cultures							
884	CHIN 381	East Asian Languages and Cultures	East Asian Studies						
885	CHIN 382	East Asian Languages and Cultures	East Asian Studies						
631	CLCV 103	Classical Civilization							
632	CLCV 104	Classical Civilization							
633	CLCV 106	Classical Civilization							
634	CLCV 205	Classical Civilization							
635	CLCV 206	Classical Civilization							
636	CLCV 210	Classical Civilization	Comparative Literary Studies	Theatre Studies					
637	CLCV 212	Classical Civilization							
638	CLCV 213	Classical Civilization							
639	CLCV 215	Classical Civilization	International Relations - Economics						
640	CLCV 230	Classical Civilization							
641	CLCV 236	Classical Civilization							
642	CLCV 240	Classical Civilization	Jewish Studies	Middle Eastern Studies					
643	CLCV 241	Classical Civilization							
644	CLCV 243	Classical Civilization							
645	CLCV 250	Classical Civilization							
646	CLCV 250H	Classical Civilization							
647	CLCV 280H	Classical Civilization							
648	CLCV 305	Classical Civilization							
649	CLCV 310	Classical Civilization	Comparative Literary Studies						
650	CLCV 313	Classical Civilization							
651	CLCV 330	Classical Civilization							
652	CLCV 336	Classical Civilization							
653	CLCV 350	Classical Civilization							
654	CLCV 350H	Classical Civilization							
668	CLCV 360	Classical Civilization							
669	CLCV 370	Classical Civilization							
369	CLCV 373	Art History	Classical Civilization	Media Arts and Sciences					
717	CLPT 180	Comparative Literary Studies							
1575	CLPT 247	Medieval Renaissance Studies							
1832	CLPT 284	Russian							
1833	CLPT 294	Russian							
718	CLPT 375	Comparative Literary Studies							
707	CLSC 214	Cognitive and Linguistic Sciences - Psychology Concentration							
670	CLSC 216	Cognitive and Linguistic Sciences - Computer Science Concentration	Cognitive and Linguistic Sciences - Philosophy Concentration	Cognitive and Linguistic Sciences - Psychology Concentration	Education Studies				
702	CLSC 316	Cognitive and Linguistic Sciences - Psychology Concentration	Education Studies						
902	CPLT 236	East Asian Studies							
1040	CPLT 238	Environmental Studies							
1834	CPLT 284	Russian Area Studies							
1835	CPLT 294	Russian Area Studies							
672	CS 111	Cognitive and Linguistic Sciences - Computer Science Concentration	Cognitive and Linguistic Sciences - Psychology Concentration	Computer Science	Data Science	Media Arts and Sciences	Music		
703	CS 112	Cognitive and Linguistic Sciences - Psychology Concentration							
1558	CS 121	Media Arts and Sciences							
1559	CS 203	Media Arts and Sciences							
810	CS 204	Computer Science	Media Arts and Sciences						
675	CS 220	Cognitive and Linguistic Sciences - Computer Science Concentration	Computer Science	Media Arts and Sciences					
1560	CS 221	Media Arts and Sciences							
673	CS 230	Cognitive and Linguistic Sciences - Computer Science Concentration	Computer Science	Data Science	Media Arts and Sciences				
